Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
10,123,3.0639335805469967e-13,3.372777052655895e-10,4.939963870378129e-11,-9.274393530011658e-09,2.644005344941735,-3.2057186200063876,2.1507796216447317,-0.6406781220462132,5.613409372171701e-15,5.120452460554347e-16,8.131818400974651e-17,6.34175403083662e-23,7.317014866780753e-24,5.192529112175762,2.3814686278562596e-10,2.5192949320109118e-11,6.509162716544214e-11,2.4006921702528975e-11,2.2557039660920092e-12,1.3045563216473547e-13,1.7586512787098894e-13,4.4048271122614116e-14,5.538008016194591e-15
11,109,2.51282641226411e-13,2.6152523503513087e-10,3.266545276707724e-11,3.504391703633114e-09,2.6242363409479963,-3.212725346096553,2.2651576682592207,-0.7115843537449074,4.684201643951634e-15,4.63534904198593e-16,5.718516375146101e-17,4.2870327142278636e-23,6.011782137996926e-24,5.218724438165497,1.9957397032670834e-10,2.0774273973428547e-11,2.5937509483686864e-11,2.1626365202511278e-11,2.0637206971353843e-12,3.095687865399868e-14,9.489401898993555e-14,5.499157044817502e-14,1.6730683113476416e-14
12,67,8.30604052536971e-13,1.0682396890921975e-09,3.8391505575317654e-11,-6.352828218022352e-09,2.675206173415357,-3.2676075730136374,2.2723288138138136,-0.6921741413495106,1.3425519366031305e-14,6.655933262277216e-16,6.308890967821107e-17,3.7602346502687426e-23,5.888756144276661e-24,4.280066173161957,1.0209330337868766e-09,2.920596128451385e-11,3.4095444371422866e-11,2.336508110639435e-11,2.1309751466216893e-12,1.0183574270395614e-13,4.022477119139812e-13,7.014130823092343e-14,2.03363541616853e-14
13,101,4.94279332844675e-13,5.362213232018701e-10,4.5263829972801346e-11,5.070172364019159e-09,2.633601415690086,-3.2145035008083105,2.26112559914938,-0.7054437961571343,9.645497145351683e-15,6.361286961183433e-16,9.952125147900971e-17,4.224071278995878e-23,7.56174779026151e-24,4.486604847967453,4.982358995210225e-10,3.251009597600095e-11,4.022103602730317e-11,2.642870879050906e-11,2.7725492079998417e-12,5.218756738601402e-14,7.879290791145697e-14,5.0146537924329494e-14,4.7111910386332206e-14
14,53,8.305488513163424e-13,1.0845459443291207e-09,3.558782861560649e-11,-6.2746741501826476e-09,2.644261055858199,-3.2233783017090207,2.283490290125659,-0.7160060305854903,1.3398613806782727e-14,4.2143783187378816e-16,4.5818532397261286e-17,3.4083977967197906e-23,7.696231717991721e-24,4.157674703090092,1.0650466172439134e-09,3.049650889754476e-11,2.63072928587529e-11,2.4179786327364747e-11,2.3164935678057663e-12,1.1268959305076785e-13,3.633069405845624e-13,7.319130963966704e-14,2.3984612893725512e-14
15,95,4.68192822863888e-13,5.269116684345372e-10,4.9455710445149297e-11,6.0893154064272426e-09,2.6262223199088126,-3.2324485684821616,2.3269874335495597,-0.7454466002081355,1.0282171556465764e-14,6.613766430788187e-16,7.588567595616367e-17,5.890686048994678e-23,9.802717810776115e-24,4.50211644355661,4.3969937611105876e-10,3.7438353920446165e-11,3.548151806433467e-11,3.0499093666126684e-11,3.5890683891738194e-12,6.78514294839311e-14,1.7396158547698916e-13,6.877964174530047e-14,2.888578273812776e-14
16,62,7.098077457506185e-13,7.160713655112669e-10,3.6600726855305426e-11,1.0309028659194223e-09,2.7006125883330423,-3.328334986784417,2.3346180070543463,-0.7208719595066608,1.6824440198345027e-14,6.249720560035128e-16,4.378111290740848e-17,2.386826660757979e-23,4.61451833356445e-24,4.079687512320912,6.409370561089934e-10,3.535829873413533e-11,2.5993947429578877e-11,2.5318592239744036e-11,2.0353657482211336e-12,3.609944309857515e-13,1.6576387390413117e-13,7.400980194498354e-14,2.262948072981484e-14
17,106,3.0688995560671833e-13,3.0717621828658364e-10,2.6377969678449697e-11,3.605520409856313e-10,2.6947275454668853,-3.3353443175258843,2.3591146402432597,-0.7436301802278348,4.877537857310394e-15,4.431723695338126e-16,4.54290668466367e-17,2.062851366236725e-23,4.369796471472571e-24,5.573450387098394,2.811407696071092e-10,1.8773307818647472e-11,2.1424958397122592e-11,1.5021581796419095e-11,1.484176409474941e-12,2.2852109433340845e-13,1.3276557696338452e-13,6.606262223299878e-14,2.172023010809341e-14
18,82,2.7998825088256996e-13,2.838373706621656e-10,2.5451650543732347e-11,1.7228561831543014e-09,2.694777827934991,-3.3308406046111463,2.3464742954907765,-0.739117096965916,5.602343196865862e-15,3.8771352044440346e-16,4.4945400485437124e-17,1.7454678167608558e-23,4.383910693368695e-24,5.426043947171029,2.571929986155049e-10,2.604114347470373e-11,2.3043542174662742e-11,1.4359101392541567e-11,1.3654832342256342e-12,1.867525926018355e-13,1.3146109389168121e-13,7.100079402103157e-14,3.0140249305252716e-14
19,90,2.408139801535956e-13,2.639085821279611e-10,2.4379367053794703e-11,-4.4347695767655635e-09,2.685221915292265,-3.31834213748287,2.3378333091348518,-0.7328926917947516,4.572844512103191e-15,3.5287129061595735e-16,4.522291042228462e-17,3.4169208143471255e-23,4.1875420226555216e-24,5.5389456657813305,2.580283321172775e-10,2.0089556615676004e-11,1.9439910193819855e-11,1.5241063962624985e-11,1.3879410262365183e-12,1.4247546474183805e-13,1.5813385519346272e-13,4.5633900130179974e-14,8.168991160204621e-15
