Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
10,143,6.716094776984825e-14,6.789770538278766e-11,1.1500246566344429e-11,-1.6048660830324664e-09,2.637136397372967,-3.242027622033294,2.2648367623558348,-0.7164645637309983,1.4300195260566421e-15,1.5474121399274547e-16,1.5669446923879894e-17,9.681691792583186e-24,1.6016161084319281e-24,6.011601170961701,4.102530820546142e-11,8.79710706570378e-12,1.3470490110080577e-11,6.58676023198262e-12,6.355576714252689e-13,3.389415235576354e-14,7.40628242447073e-15,3.351483546035305e-14,1.4955370935644024e-14
11,125,9.891989765168617e-14,1.00097146613915e-10,1.305347098455375e-11,-1.3574402274210165e-09,2.6340593387782874,-3.233134575376749,2.288805376213385,-0.7320226193139465,1.5071997865829685e-15,1.8440313384766283e-16,3.3927586567646424e-17,1.0424293553762548e-23,1.4183983574547284e-24,5.729137150053023,7.520270659992532e-11,1.4310124044243803e-11,1.0614839894285625e-11,8.026842938095073e-12,7.829240884900912e-13,1.87370283563636e-14,2.6734270869580862e-14,2.751591413194992e-14,8.162260060494614e-15
12,136,7.088055303050484e-14,7.169278376594986e-11,1.2063756022471029e-11,-1.4678737255831708e-09,2.6218541521693375,-3.225547250790939,2.2774340815017395,-0.7249615152464189,1.4934258378974323e-15,1.513171943224097e-16,2.601568271019028e-17,1.09937211758278e-23,1.5445669981276328e-24,5.857781051976849,4.5392355966635063e-11,8.4155817888149e-12,1.0593066899664325e-11,7.260290229455028e-12,7.36346959802067e-13,2.865110736023029e-14,1.7462609090932636e-14,2.1170269332165745e-14,9.03883485094643e-15
13,90,1.2327734162424308e-13,1.2333483028555305e-10,1.2060821798779152e-11,-5.713238223176027e-11,2.677031443883417,-3.3047020735938393,2.3291025924729674,-0.728841640226404,1.8906209216534183e-15,2.2430564399122566e-16,2.2226287066003553e-17,1.1596865235957404e-23,2.1215289974809467e-24,5.4754054390701645,1.0926009035937268e-10,1.3492532744408539e-11,9.027207706677775e-12,6.77526672522759e-12,7.051866509883495e-13,2.876648171846516e-14,2.1252381288782923e-14,2.8451998802150127e-14,9.563225732135466e-15
14,130,1.6343185447701404e-13,1.6446862632857402e-10,1.7294006195834614e-11,-8.029984488226412e-10,2.63706330012737,-3.232534379245475,2.268449847090756,-0.6951369405205379,1.9269263537005215e-15,2.8455044535460913e-16,2.7552639514102233e-17,1.416318836884357e-23,2.2671378685435165e-24,5.22719515975815,1.7214786436096973e-10,8.84146457933782e-12,1.244008848412222e-11,1.1505865867373748e-11,1.111249929966693e-12,2.7711086980509906e-14,1.2870854940268615e-14,2.2201515408829614e-14,5.022031892964539e-15
15,92,1.4626940692773994e-13,1.4706803440271968e-10,1.596053848151159e-11,-6.97095294471156e-10,2.666692263427434,-3.2975069552074614,2.3387830124472044,-0.7357046497084636,1.969421930795896e-15,2.4279940991967713e-16,2.2969339385536965e-17,1.15993899400472e-23,2.2644978367399726e-24,5.626007555806703,1.4953687567245125e-10,1.2948933077002795e-11,1.3186533450218732e-11,9.066894357309407e-12,9.931746331318217e-13,4.516432916388591e-15,1.9001259758727916e-14,3.228710873627152e-14,1.1036511796537213e-14
16,100,1.0496875279021502e-13,1.0496882667899633e-10,1.084721939840847e-11,-1.4794200983732595e-11,2.6380078653774186,-3.224099586135546,2.2738389834106676,-0.7216735713180791,1.9549657532104157e-15,1.5531332078879553e-16,1.8523939002044544e-17,7.002771182681184e-24,9.278108627423612e-25,5.4619870107923445,1.1703207946442526e-10,1.1142124980807221e-11,1.0355517389499232e-11,5.668211629020237e-12,6.322914242119475e-13,2.9185114201574846e-14,1.1361503757396118e-14,2.7651148707671268e-14,1.26690181658849e-14
17,136,7.758640020457471e-14,7.764806580091807e-11,1.4332187381253412e-11,-5.869829113970933e-10,2.63331794342157,-3.231134850563656,2.233537764975981,-0.6908272393222175,1.5277987902168783e-15,1.997892493832956e-16,2.4024609000076265e-17,8.3487616002537e-24,1.2098513176213402e-24,5.927908313787115,6.067405689115344e-11,7.97812717315106e-12,1.4090259636117765e-11,8.614501748584349e-12,7.923580439938569e-13,2.4255025045510965e-14,4.38041330063361e-15,2.7501493544689017e-14,8.557379883913293e-15
18,114,8.590362182386091e-14,8.590376241419975e-11,1.0706164199431842e-11,5.0442608118226536e-11,2.6245781274917657,-3.220245211756665,2.30284274337168,-0.7474705995034181,1.4403085495309664e-15,1.3212981657777136e-16,2.9177774338913417e-17,9.750004564550629e-24,1.5077251912412137e-24,5.8433318470935935,6.830344964217307e-11,1.1476331412018302e-11,9.922172629276762e-12,5.7802549452649275e-12,6.799877956016635e-13,1.6900869964337748e-14,1.7094785600961028e-14,2.8265382508620224e-14,8.031695623201033e-15
19,118,7.624792401935352e-14,7.624797595262438e-11,1.213193597728565e-11,7.693778709805287e-11,2.587789413656671,-3.163195057992491,2.253826914914116,-0.723746489999636,1.4095988895326436e-15,1.8548070421099947e-16,2.2568816494686416e-17,1.1273345071066027e-23,1.4233188904194095e-24,5.4597175431368585,4.992431326788155e-11,9.285538657272414e-12,9.282436725741623e-12,7.453605612709913e-12,8.25528264300583e-13,2.2055410186110055e-14,8.937843619650419e-15,1.7239900263716257e-14,8.473857189213195e-15
