Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
10,64,6.891973513013892e-13,6.920358200643757e-10,3.298948084425206e-11,-9.472032103232455e-10,2.7601986951254456,-3.437186196205638,2.43864453196276,-0.7822240966585954,1.8135573315498057e-14,4.850980730693211e-16,3.534304453569915e-17,1.8428184376575186e-23,2.4489272611527e-24,4.327872887985115,5.697740692025397e-10,8.054897908233985e-11,3.602984011566102e-11,1.4557711963230458e-11,1.4289088294781878e-12,9.127544434440871e-14,5.525409844353815e-13,1.161068967371169e-13,4.577582166211682e-14
11,68,8.48162000176388e-13,8.501274169614169e-10,3.1072769317427036e-11,-9.125939496636167e-10,2.8719156926579417,-3.62503361608991,2.517453382253647,-0.7821783812988874,1.712597838433009e-14,3.37807897964552e-16,1.9522591763511792e-17,1.1275985172169698e-23,1.7306152135291857e-24,4.755432670896244,7.049138679252329e-10,1.2226467530130717e-10,3.532993759183681e-11,1.0956987571214227e-11,8.464180176832391e-13,1.340037674073138e-13,7.655957854554183e-13,2.393408320685541e-13,4.6271057970014854e-14
12,88,8.625767049348334e-13,8.642511363690387e-10,5.485172668868741e-11,-4.766419930004363e-10,2.695690213226668,-3.3257426932220975,2.3605421513892306,-0.7520004273401266,1.6972898005250606e-14,9.716958397075282e-16,8.020890924139926e-17,7.187264622993769e-23,5.874933406725496e-24,4.866583190315596,7.353861239223138e-10,7.636220590533736e-11,5.833777952366927e-11,3.065243774024685e-11,2.9838017476591973e-12,1.1296442394219751e-13,3.758215467358802e-13,1.4139693264678002e-13,6.49568151401099e-14
13,52,1.4483424034465478e-12,1.4490291022533132e-09,3.886544072571163e-11,-3.9285934337649804e-10,2.8127865299278847,-3.5077524282351993,2.4405544460295965,-0.7566634128307237,3.4195261699663535e-14,4.499164454475871e-16,3.5828316879077347e-17,2.3766487841085736e-23,3.0400154448228235e-24,3.7081869170916297,1.3223118990413435e-09,1.0744498508250641e-10,4.3302030290859946e-11,1.742197116590992e-11,1.418286159898039e-12,1.2578586462186786e-13,5.890212186354456e-13,2.716327619086769e-13,5.76028412672971e-14
14,87,1.9972212757262e-12,2.0068142890311208e-09,1.517645153554799e-10,-1.0734145915014897e-09,2.6116860446271177,-3.17801979958031,2.251053712109017,-0.7032458823080037,4.481499693907994e-14,2.9113715226984935e-15,2.5760907407420554e-16,2.5061593764218987e-22,2.3372555577857066e-23,3.997891827268776,1.8659549933181985e-09,9.154170130088768e-11,1.3331106166879534e-10,9.388640578917257e-11,1.0155331626578016e-11,3.138278920675968e-13,2.549486664718147e-13,1.5620891904259763e-13,1.0096077379079045e-13
15,34,3.108655150190589e-12,3.108927715560912e-09,5.955758955353358e-11,-3.613041541064595e-11,2.842178275153883,-3.5554532091505666,2.4233622615755164,-0.7158054870544004,7.644707681316242e-14,8.179400864029723e-16,6.049376823544076e-17,2.96730457012731e-23,4.351323052540863e-24,2.882572898561048,2.929259140265655e-09,1.0591279188939309e-10,7.74792647334085e-11,3.17405855836136e-11,2.153896157067007e-12,1.9648622648474484e-13,3.222396153705234e-13,3.177895858773164e-13,6.085976550403646e-14
16,50,9.328257055780027e-13,9.32828731151684e-10,3.180312468527932e-11,-4.7158828046319494e-11,2.936221923101374,-3.7440810901623065,2.57328767855625,-0.781100216880344,2.0367344886442887e-14,3.3315686295443195e-16,1.2464464467133987e-17,1.1090725248419423e-23,1.40386670658328e-24,4.415372023211431,9.314251455432212e-10,1.2091942197411113e-10,4.185551296437643e-11,9.397241240348287e-12,7.103385480397447e-13,1.2521367602336136e-13,1.097968174540113e-12,1.8445703672487094e-13,2.5045432009126843e-14
17,55,7.908935861781962e-13,7.987006950648591e-10,2.3748812173269098e-11,-1.2900901531680501e-09,2.9430261204569876,-3.7540215748397596,2.580054013936881,-0.7829456672580022,1.6117427651156536e-14,2.445158695985011e-16,8.052227351378517e-18,8.446501754926161e-24,1.3329826695152455e-24,4.355475598867487,6.765725185305827e-10,1.0172270189342655e-10,2.987122688777295e-11,7.055419161361361e-12,5.155281923960703e-13,9.820486857941371e-14,8.012276449688853e-13,1.1321182480178841e-13,2.2043445413817023e-14
18,53,6.166041555940839e-13,6.184508516155202e-10,2.416216985396288e-11,-1.0432168556788582e-09,2.8859993649766627,-3.6697226690152993,2.5736678327295914,-0.8098115557604191,1.4094146165240767e-14,3.0764885184070574e-16,1.677154875701259e-17,1.5319720772357748e-23,1.4403309184953652e-24,4.423883479770759,5.505854781883696e-10,9.236931385800992e-11,2.3392619545358826e-11,8.511063582132684e-12,6.461607116298017e-13,9.65040617500469e-14,8.520924242002761e-13,1.3305746791774732e-13,1.9904512046134063e-14
19,86,6.3493098569728e-13,6.365517927407452e-10,4.0252979920585664e-11,-7.626179062679885e-10,2.7280736498975084,-3.384516418916325,2.3929561191509716,-0.75929748004618,1.5490788680994923e-14,6.998277373353572e-16,5.0176843877632355e-17,2.22798641610767e-23,1.988780721926742e-24,4.5098255219200585,5.113541416674128e-10,7.2015799926406e-11,3.687559770224319e-11,2.221441406547905e-11,1.9853947768721135e-12,7.02135563145453e-14,5.151429958185061e-13,1.0923696687011089e-13,4.387743617850137e-14
