Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
10,84,1.7311893913988624e-13,1.7312191592939058e-10,1.1871662183153276e-11,-9.122135253345224e-11,2.731358540975844,-3.3943576158644913,2.408493164969865,-0.771572252340152,3.8857976308904376e-15,1.6395052373460036e-16,1.3920218626386252e-17,7.893213939345826e-24,6.632665540785718e-25,4.32435377430759,1.4162656368208255e-10,1.6255361213065885e-11,1.1418122661509796e-11,6.368683458096452e-12,5.690863181930692e-13,1.2309475436958236e-14,2.375451617720686e-13,2.9357166326223885e-14,1.1356092486550687e-14
11,112,1.957399772833567e-13,1.9575656798720663e-10,2.7988415669824075e-11,-3.3484643144272976e-10,2.6538412715344966,-3.284387859304276,2.338930115936854,-0.755034909642903,3.681152372107941e-15,4.219859331187952e-16,4.336138980929253e-17,2.691575804522774e-23,2.9455805868905e-24,5.217898567885831,1.5746306518079405e-10,2.7089254282530788e-11,2.451548986185545e-11,1.6909983315291186e-11,1.6767859867486163e-12,3.648525189939828e-14,1.98735391096403e-13,5.687967677910574e-14,1.918522169389926e-14
12,92,1.7571676299951203e-13,1.758498566307022e-10,1.6201706112457775e-11,-4.781910130061739e-10,2.682123324457227,-3.3094505945414787,2.341041649889547,-0.7427373518021151,3.413261592711625e-15,2.2075069355201826e-16,2.3562872329050953e-17,9.438787860224775e-24,1.1419758917902786e-24,4.884403790157049,1.4281456004028563e-10,1.6575975341041787e-11,1.527334765526858e-11,9.975260167980714e-12,8.922284043891595e-13,1.8108808447201938e-14,1.6664210444444932e-13,2.9473241616961276e-14,1.2902487701312831e-14
13,72,1.98763086093142e-13,1.98768768116054e-10,1.3077324499130801e-11,-9.414507663691434e-11,2.7456855249980237,-3.421913047981995,2.409896074814604,-0.7556009769190682,3.4919099366325464e-15,2.1064684113891133e-16,2.0302411001494965e-17,7.116262302847776e-24,1.1836416771890015e-24,4.990769769931961,2.427121680133201e-10,1.861723269865341e-11,1.0544689305561206e-11,8.441724891413092e-12,6.434015935803926e-13,4.1037285581329364e-14,9.34163994367871e-14,4.3443664333130696e-14,1.69008488446841e-14
14,56,3.349053823324039e-13,3.360015520474014e-10,1.5362726150122046e-11,-5.707635481156317e-10,2.6957880886760606,-3.328893492714121,2.3731737541478353,-0.7533307139366954,6.363286297112446e-15,2.39718890507768e-16,2.522362124925542e-17,1.1460377653383969e-23,9.958622155236945e-25,4.122371906333828,3.529748281677889e-10,1.6254506677241957e-11,1.1715486428791897e-11,9.71811818094737e-12,8.931964869134617e-13,3.6931244140979166e-14,1.3642031093737403e-13,2.4906169173801295e-14,1.0642377589874521e-14
15,86,2.727890072650545e-13,2.728155626741938e-10,2.004005895151847e-11,-3.8642010138276136e-10,2.7140363057192936,-3.361776989761154,2.347356399423976,-0.7199418066776858,4.466753056867458e-15,3.5602895012237223e-16,3.5394387081360336e-17,9.938472013278764e-24,9.638406646194006e-25,4.963571698744629,3.6998946330539967e-10,2.0443505075304213e-11,1.519517499497803e-11,1.3303447543820576e-11,1.0707250586729924e-12,6.324150529734435e-14,4.2270050637933295e-14,4.2380509862414727e-14,2.1707229871740535e-14
16,55,1.8227669001600715e-13,1.827185289827574e-10,6.900154859620728e-12,3.541596510834795e-10,2.8382335517306494,-3.597330062507057,2.573874635767661,-0.8348130349302498,4.4509207718980435e-15,7.190181505005633e-17,4.844991051580894e-18,1.6961286563922695e-24,2.39496433243754e-25,3.0608460579013403,1.6258447048751477e-10,1.486022010989467e-11,6.441245429852741e-12,2.339393937127331e-12,2.2445693139586175e-13,1.8946084452050285e-14,3.749203382070596e-13,3.4445081916332456e-14,3.0378094631089103e-15
17,57,1.6247439802228098e-13,1.6264657142252605e-10,6.294281640549911e-12,2.0536434703914377e-10,2.819342399029459,-3.546165036033768,2.519210456394887,-0.8126834372429996,3.8370723303329185e-15,5.968996992876976e-17,5.470745888184998e-18,1.9269174819767705e-24,1.8326815067804017e-25,3.165585174712466,1.428269396743716e-10,1.2781559885252021e-11,6.235836109208906e-12,2.223469548722772e-12,2.045154176893695e-13,1.4051580066970763e-14,3.161352923743537e-13,3.130964551906722e-14,3.74144086732373e-15
18,50,2.6960708981316907e-13,2.703236952983002e-10,7.055806449404492e-12,2.5659476436986867e-10,2.8241034278617283,-3.559288824692932,2.538339902520704,-0.8157357860843459,6.529265907330345e-15,8.082819690556261e-17,6.839794625561029e-18,2.5218278530049827e-24,2.9168083180221766e-25,3.7578078415401226,2.964990338706407e-10,1.5237945719570315e-11,6.42694316966672e-12,2.690928331723564e-12,2.60452417679533e-13,3.187377206983825e-14,2.972314207934739e-13,3.254016592231362e-14,4.2019603770567206e-15
19,66,1.1348246205513773e-13,1.1365120616638971e-10,6.488477334461559e-12,-4.1334288888830415e-10,2.7332735512668087,-3.3847396115986235,2.4024285435732353,-0.7759889615768822,2.6780491135387886e-15,6.346597137360203e-17,9.119735602913974e-18,3.563100317159516e-24,5.131014369997018e-25,4.010579886169874,9.66939143915445e-11,9.466182233255572e-12,6.665748636718831e-12,2.888505584921139e-12,2.8664114725497043e-13,8.291932160858947e-15,1.8431578406570855e-13,2.3346330965106127e-14,4.771686844144415e-15
