Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
10,93,1.562967741387919e-13,1.5771976462286717e-10,1.4490797708242551e-11,-1.4386925581856039e-09,2.6252204796629304,-3.231114028843405,2.370755849596767,-0.7989063269629246,2.3801992812264736e-15,1.9966680708410978e-16,4.277774489194068e-17,1.9528873052645513e-23,2.5403010702250636e-24,5.379932087548916,1.5450619030787022e-10,1.9854345714821402e-11,7.916714664885256e-12,7.684374093836071e-12,9.86385885140806e-13,2.4038203664306312e-14,7.22640566907023e-14,5.818110142277703e-14,5.4824724011049934e-15
11,95,1.468445309119614e-13,1.469730382135125e-10,1.439764526705177e-11,3.0680592301976936e-10,2.676711585965786,-3.315852816024342,2.3894256298930774,-0.7895603623718147,2.8241724579288124e-15,1.895373675991265e-16,1.72410558403613e-17,1.5723439854755108e-23,3.5835932695386715e-24,5.418044058458393,1.5356286070970192e-10,2.2264184020333638e-11,1.4437140526856024e-11,6.934656143116597e-12,8.098093078632986e-13,2.2948802806238833e-14,6.73853046646194e-14,5.593177252396407e-14,9.648451056298456e-15
12,163,1.9042381245775256e-13,1.9704040965873533e-10,3.75020384222667e-11,-4.267883633368449e-09,2.553954988872258,-3.1305803704463546,2.2860003624346614,-0.7599162729863903,2.1087825510769543e-15,4.7163187325844e-16,1.151314169503564e-16,7.012927046386985e-23,5.724035149593045e-24,6.2251830888966175,1.5418142153896146e-10,2.190684419028993e-11,1.5825223811493346e-11,2.5388734815379067e-11,3.0358092312934592e-12,2.4846347029644015e-14,7.82874204388981e-14,5.4448983765020864e-14,1.0503266022013432e-14
13,114,1.1895189426862401e-13,1.1937551918710594e-10,1.549600252815085e-11,-9.660953746374111e-10,2.631303301006745,-3.2507889161313153,2.3569297967090264,-0.7820138347941747,1.5667096401088187e-15,2.638019766636373e-16,3.405993212472835e-17,4.4191519232554484e-23,4.887118389938644e-24,6.064525765683219,1.1381494619148266e-10,1.5601658071178133e-11,1.1100611797072028e-11,8.280520223671546e-12,1.0227741838229682e-12,1.9021202418779644e-14,6.925998022324995e-14,4.6761026557505836e-14,7.011917014178238e-15
14,106,2.104306631690065e-13,2.1612787541362797e-10,2.2846387765032186e-11,-2.5737643118488727e-09,2.6534033723170265,-3.2882926318082983,2.3862636491193525,-0.7837292446672005,2.7196792837080503e-15,2.9370805579325797e-16,3.3146518121689414e-17,4.4343850233299185e-23,5.371109477705433e-24,5.592284834359927,1.695065616941256e-10,2.330660664286063e-11,1.3385264552006687e-11,1.2877072805899052e-11,1.5304862139539546e-12,3.189952589841466e-14,9.932921287817745e-14,5.990508045311964e-14,9.983331079721108e-15
15,120,1.4919910144707766e-13,1.4921091830184104e-10,2.189189686020783e-11,-2.2127305943328588e-10,2.582639460253792,-3.1754393680054998,2.3384581244742355,-0.7895232928508453,2.1038355531654147e-15,2.7766626227910836e-16,5.868498447564789e-17,3.6233987575477306e-23,5.6508982909007865e-24,5.759026530073701,1.421835516795699e-10,1.4520719369235412e-11,1.1287637355277789e-11,1.3592452319234026e-11,1.7013551250723536e-12,2.4559888748114276e-14,9.367144616324574e-14,3.266700454697407e-14,1.1246901542013213e-14
16,98,1.2881631810235764e-13,1.2920529986296596e-10,1.3780728809781216e-11,7.099970163806832e-10,2.701418764846966,-3.346760252945658,2.3557824919628017,-0.7515104057068783,2.1149441443158865e-15,1.8444616594764019e-16,2.8314735986343434e-17,9.272455529724698e-24,1.3116746200108817e-24,5.894915452389753,1.2032857525878017e-10,1.8168913203078992e-11,1.3506813986335554e-11,7.13863738677452e-12,6.804892023727592e-13,4.076562040422048e-14,4.839147077738482e-14,5.4725602210261415e-14,7.543460768158496e-15
17,85,1.195335928182696e-13,1.1957858695343615e-10,1.275275680114454e-11,-5.373522011867528e-10,2.655815790648581,-3.280714810408268,2.3643893230759567,-0.7825540354345105,1.8290076476829117e-15,1.6454212591531567e-16,2.4510054042738997e-17,1.1622097869207337e-23,1.6025788346159723e-24,5.886260260743697,1.171684068351887e-10,2.0503483910862922e-11,1.0818345606157803e-11,7.0070061990983964e-12,7.406244007400234e-13,4.809889311887003e-14,4.9104659759549056e-14,6.105646210145375e-14,1.0291283406488094e-14
18,104,1.1993626420117665e-13,1.2009601764098608e-10,1.2707849364491508e-11,3.3577635910224286e-10,2.6641694120092163,-3.2875455234653383,2.3460284043397035,-0.7620171293247954,2.3591412583519142e-15,1.7434730218199474e-16,2.494362292982989e-17,1.285796505327633e-23,1.492834000911587e-24,5.6650675161528365,1.112055720370063e-10,1.945519826304963e-11,1.1734116095631532e-11,6.758564389815169e-12,7.21961611042987e-13,3.807588345684535e-14,5.852122121980196e-14,4.6176113088020656e-14,6.04812077227019e-15
19,106,1.2382076331422157e-13,1.239151646536775e-10,1.4416624737009263e-11,-6.230779575052221e-10,2.6320352281690704,-3.244745638744026,2.3576923748451013,-0.7906799304218932,1.642221753247032e-15,1.6380935157172488e-16,3.5530815694379974e-17,1.655672241355869e-23,2.252387847638228e-24,5.991399572318207,1.1460702555303302e-10,1.9839169144971905e-11,1.1507911093867443e-11,8.198587381852801e-12,8.981214994205667e-13,2.5873958441069498e-14,4.988920416293822e-14,6.171721573640124e-14,9.952727510565947e-15
